Plot ,GT_DSC,AC,PV,TV,BD,FV,SB,LO,PT,PASTEMP_RECALC,HRD,ADH,COH,SPR,SMMAX,LM_SMMAX,TD_SMMAX,TEMP_GELPT,TEMP_SMMAX,TROUGH_SM,SLOPE1_SM,SLOPE2_SM_abs,SLOPE3_LM,SLOPE4_LM_abs,PC
Plt0665,76.79,23,170.08,109.33,60.75,244.75,74.67,135.42,5.8,79,1920.23,10.1,0.38,0.11,48503.33,4831.33,0.1,60.35,81.53,17300,6236.71,1920.22,1664.25,412.28,10.59
Plt0666,76.64,21.9,251.25,190.58,60.67,339.17,87.92,148.58,6.1,78.3,1246.32,10.67,0.43,0.1,26830,2824.33,0.1,63.47,84.4,11000,4404.05,926.825,839.5,328.505,10.95
Plt0667,76.93,23.7,275.5,192.5,83,377.5,102,185,5.9,78.3,2103.28,17.01,0.45,0.11,23120,2303,0.09,59.27,92.6,15850,7599.25,1768.86,763.215,1064.2525,9.82
Plt0672,77.19,24.4,290.5,216.83,73.67,359.5,69,142.67,6.2,78.3,2203.41,13.06,0.52,0.12,42886.67,4792.33,0.11,61.3,80.5,16100,5628.33,1624.7925,1933.195,1762.1,8.75
Plt0689,77.08,25.4,310.08,210.42,99.67,380,69.92,169.58,5.9,77.5,1487.53,7.75,0.58,0.12,36596.67,3446,0.1,59.5,83.33,15933.33,15584.5825,1683.6825,3193.6,1974.3025,7.68
Plt0702,75.78,26.3,214,143.33,70.67,298.08,84.08,154.75,5.8,78.3,1723.54,8.22,0.47,0.12,40070,5090.33,0.12,59.73,80.97,15800,4562.2525,1664.2175,2959.7775,1711.4575,8.63
Plt0727,76.06,25.3,159.75,92.92,66.83,205.08,45.33,112.17,5.6,77.5,2623.44,27.53,0.42,0.13,35773.33,3858.33,0.11,62.83,79.27,12533.33,12452.18,1321.0025,1512.4875,1523.67,8.57
Plt0734,76.51,25.8,301.5,202.5,99,378.42,76.92,175.92,5.9,77.5,2339.33,15.79,0.54,0.11,20956.67,2093.67,0.1,60.37,88.3,12000,4061.835,1235.9075,599.3025,502.6225,7.79
Plt0735,76.67,24.9,291.75,242.5,49.25,378.5,86.75,136,6.5,79,1820.06,14.58,0.36,0.11,40646.67,3697.33,0.09,63.73,82.63,16866.67,7641.5975,1705.5075,3094.3325,2152.985,9.4
Plt0736,76.45,24.4,223,146.42,76.58,313,90,166.58,5.9,77.5,2189.84,19.11,0.46,0.1,43860,4286.33,0.1,62.13,78.47,14900,6742.47,1668.2,1934.3325,1101.995,8.33
Plt0747,67.74,27.7,256.75,206.92,49.83,312.08,55.33,105.17,6.4,74.4,2387.56,19,0.5,0.13,30200,3994.67,0.13,53.27,83.07,14933.33,2754.735,1624.85,718.11,390.97,7.91
Plt0757,77.69,25.7,198.83,138.58,60.25,264.92,66.08,126.33,6,78.3,1449.31,10.08,0.35,0.09,45136.67,7639,0.17,55.75,78.7,15225,4234.705,1441.2825,2465.94,2139.3675,8.75
Plt0769,76.5,23.7,289,204,85,359.33,70.33,155.33,6.1,77.5,2071.89,9.75,0.5,0.13,44430,4082.67,0.09,62.75,80.2,16680,9525.4775,1875.8,1724.2675,3207.9,9.04
Plt0779,77.63,25,314.92,213.75,101.17,364.75,49.83,151,6.1,78.3,894.56,5.91,0.42,0.1,35823.33,4459,0.13,63.93,81,14700,3480.21,1472.765,1012.34,1065.0375,7.97
Plt0781,78.36,23.6,266.58,199.58,67,364.5,97.92,164.92,6.1,78.3,1919.23,13.98,0.37,0.13,49750,4995,0.1,62.35,77.57,16633.33,7111.4075,1832.37,2085.075,600.765,8.51
Plt0808,77.17,25.6,215.42,147.33,68.08,302.5,87.08,155.17,5.9,78.3,2304.01,13.06,0.42,0.11,20523.33,4502.33,0.21,61.63,83.8,10640,9094.5,502.24,2146.9175,1131.38,8.27
Plt0814,77.44,25.8,162.17,95.67,66.5,204,41.83,108.33,5.6,78.3,2859.16,37.07,0.45,0.14,32146.67,3899.67,0.12,60.6,81.57,11700,3817.18,1227.9225,989.4525,658.37,8.21
Plt0821,77.83,24.2,223.42,128.67,94.75,276.08,52.67,147.42,5.7,78.3,1367.63,12.31,0.32,0.1,24876.67,2596.33,0.11,63.9,82.07,10350,4971.91,1175.2225,1162.8375,1247.61,8.09
Plt0829,78.04,25,292.83,196,96.83,354.5,61.67,158.5,6.1,79,1748.2,13.98,0.39,0.1,43123.33,3967.67,0.09,61.73,78.7,15450,6834.63,1598.5625,2140.875,1515.7375,9.34
Plt0830,75.94,24.3,270.92,199.67,71.25,327.83,56.92,128.17,6.1,76.8,1944.49,4.77,0.49,0.12,24076.67,2216,0.1,60.37,90.93,14000,7115.125,1177.9975,1650.8325,2615.875,10.12
Plt0840,77.84,24.5,192.17,132,60.17,263.75,71.58,131.75,5.9,79,3050.55,16.03,0.48,0.13,35113.33,4881.33,0.14,58.83,79.3,16200,4259.84,1173.1575,1327.3125,908.8475,9.46
Plt0844,68.17,22.5,245.08,218.67,26.42,329.83,84.75,111.17,6.5,73.6,2368.9,12.81,0.4,0.11,35463.33,3894.67,0.11,56.6,86.87,18150,9687.5,1936.0575,1589.7325,3225.2,11.96
Plt0845,77.52,23.5,142.5,102.58,39.92,218.83,76.33,116.25,5.8,79,2103.39,10.86,0.42,0.1,38390,3736,0.1,59.35,82.97,14100,4540.085,3095.825,4714,2705.75,12.2
Plt0851,78.43,21.2,135.83,89.08,46.75,202.17,66.33,113.08,5.8,79.8,922.45,9.2,0.28,0.08,40476.67,3534,0.09,63.03,80.93,15133.33,6424.0925,1794.3225,1081.9025,1003.91,12.38
Plt0868,78.08,25.4,167.33,107.33,60,228.33,61,121,5.9,78.3,1537.48,11.2,0.47,0.11,22400,2076.67,0.09,64.75,85.37,11250,3560.625,1264.54,1899.23,1839.125,9.16
Plt0869,77.06,25.4,178.5,142.5,36,249.92,71.42,107.42,6.2,78.3,1403.8,7.21,0.5,0.09,27526.67,1984,0.07,63.07,90.77,15950,5572.9175,1455.835,1701.25,2832.2,9.82
Plt0877,68.62,24.2,100.75,74.42,26.33,153.58,52.83,79.17,5.5,73.6,2101.24,21.35,0.4,0.13,56273.33,5453.33,0.1,53.7,73.57,16650,7336.3925,1425.3925,1330.405,685.295,9.4
Plt0881,76.67,25.9,258.42,169.33,89.08,322.25,63.83,152.92,5.7,78.3,2509.61,19.58,0.52,0.11,41573.33,4751.33,0.11,57.07,77.2,13000,6824.1425,1428.1325,1404.4225,808.465,8.81
Plt0885,76.6,26.8,249.67,165,84.67,322.67,73,157.67,5.9,78.3,1456.06,17.76,0.42,0.12,26360,2250.33,0.09,59.03,89.4,14100,5444.6875,1755.2775,1312.4775,1300.4175,9.4
Plt0886,67.49,24.9,134.83,101.92,32.92,208.83,74,106.92,5.9,80.65,1870.66,10.55,0.42,0.12,51183.33,5120.33,0.1,53.73,76.73,18500,6032.185,1243.68,796.9475,318.3575,10.53
Plt0894,77.27,20.5,218.92,141.67,77.25,266.75,47.83,125.08,6.1,79,1817.83,33.99,0.4,0.11,39940,5628.67,0.15,57.75,76.77,13900,5091.6675,1774.025,1327.2225,1212.4675,9.88
Plt0895,77.5,27.3,273.25,174.83,98.42,313.92,40.67,139.08,5.8,78.3,2531.29,15.56,0.45,0.14,26436.67,2844.67,0.11,65.27,78.37,7996.67,5815.845,999.86,336.555,501.7325,7.02
Plt0896,77.02,25.4,179.5,113.58,65.92,240.33,60.83,126.75,5.8,78.3,2061.74,26.76,0.36,0.1,42900,3922.33,0.09,56.13,80.27,15050,9312,1649.91,1322.2925,2171.5275,9.52
Plt0911,76.4,26,249.08,181.5,67.58,341.75,92.67,160.25,6,79,1911.68,3.98,0.59,0.14,35150,3629.33,0.1,63.1,80.3,14666.67,5185.64,1363.8375,1555.2825,1069.6525,8.51
Plt0912,76.6,24.7,292.25,199,93.25,343.42,51.17,144.42,6.1,78.3,1654.55,26.08,0.4,0.13,36010,3134.33,0.09,64.17,81.43,13150,5196.4025,1526.8325,1359.66,2333.4125,8.39
Plt0915,77.97,22.8,248.67,144.58,104.08,260.67,12,116.08,5.9,79,1579.59,47.05,0.42,0.1,36796.67,4435.33,0.12,58.33,77.27,11700,5630.46,1239.76,1057.7925,841.49,8.45
Plt0934,68.44,22.2,201.42,137.58,63.83,285.25,83.83,147.67,5.9,71.2,2241.28,18.41,0.5,0.13,47250,3935,0.08,51.5,79.4,16700,6419.1,1865.265,720.48,569.4375,11.13
Plt0943,77.61,23.9,167.58,103.42,64.17,231.58,64,128.17,5.7,79,2403.23,8.84,0.47,0.12,13740,1068.37,0.08,64.6,92.3,8760,1362.5225,677.27,381.8875,779.545,8.98
Plt0974,68.06,25.4,120.42,101.92,18.5,199.75,79.33,97.83,6.1,75.15,1829.29,10.7,0.42,0.13,64123.33,9413,0.16,55.47,75.6,24550,8455.11,1577.66,1722.115,663.6075,8.63
Plt0975,77.43,26.6,193.08,147,46.08,286.67,93.58,139.67,6,80.6,2313.36,34.54,0.44,0.11,42426.67,3875.67,0.09,61.27,80.67,15650,10817.12,1722.49,2661.0425,2398.9625,7.62
Plt0991,77.06,24.8,204.92,139,65.92,265.58,60.67,126.58,5.9,78.3,1915.93,13.78,0.41,0.11,33743.33,3176.67,0.09,58.7,83.93,16050,5476.625,1468.14,860.125,884.545,11.25
Plt0993,77.75,25.2,224.67,139.5,85.17,285.33,60.67,145.83,5.7,79,1826.43,36.59,0.38,0.11,37003.33,3567.33,0.1,56.37,80.2,13250,5357.8825,1390.9375,631.4075,704.595,8.63
Plt1012,77.8,23.6,257.25,190.83,66.42,314.75,57.5,123.92,6.3,77.5,967.69,3.47,0.45,0.11,47386.67,4929.67,0.1,63.57,78.2,16966.67,5932.6225,1843.2175,393.3375,1401.7275,10.83
Plt1021,76.84,23.4,279.75,206.75,73,358.83,79.08,152.08,6.2,78.3,1603.58,11.36,0.42,0.11,44670,4234,0.1,62,80.07,17166.67,6928.2275,1856.605,1703.1675,1468.785,10
Plt1028,79.42,24.7,261.25,187,74.25,336.5,75.25,149.5,6.1,80.65,1975.76,7.93,0.51,0.12,36236.67,3395,0.09,65.03,81.77,12466.67,6398.6975,1602.595,1318.2325,871.6875,9.46
Plt1029,68.62,25.2,245.58,192,53.58,345.08,99.5,153.08,6.1,71.2,1887.92,13.53,0.38,0.1,37130,3368,0.09,55.53,74.83,12633.33,4620.535,950.8575,1045.57,542.755,9.28
Plt1044,76.82,25.8,199.42,126,73.42,258.58,59.17,132.58,5.7,79,1827.99,17.04,0.37,0.12,31103.33,3051.67,0.1,61.27,84.93,15200,9082.4275,1410.56,987.675,1401.18,7.68
Plt1063,67.45,24.3,237.92,199.67,38.25,349.25,111.33,149.58,6.1,74.4,1363.7,3.85,0.44,0.11,60760,4784,0.08,54.83,74.53,18900,8765.7975,2336.37,3233.25,1409.1675,10.47
Plt1077,78.01,25,194.08,123.5,70.58,251.83,57.75,128.33,5.9,79.8,1551.58,19.46,0.43,0.12,24420,2640.33,0.12,66.33,84.4,11343.33,8324.8475,1484.81,2557.82,2808.175,8.63
Plt1078,68.4,25.5,283.33,234.58,48.75,385.67,102.33,151.08,6.3,73.6,2043.11,12.75,0.41,0.1,45550,3504.67,0.08,52.37,79.77,18100,2140.8075,1593.4075,548,990.8325,9.28
Plt1094,77.51,24.3,186.33,109.08,77.25,243.83,57.5,134.75,5.7,80.6,1697.06,33.11,0.37,0.11,41996.67,4569.33,0.11,61,78.7,15066.67,10600.035,1474.4325,2145.265,1512.4925,8.93
Plt1095,68.39,24,198.25,173.33,24.92,234.33,36.08,61,7,78.3,1623.02,22.75,0.39,0.09,29510,5407,0.2,54.17,81.03,15150,13493.25,1764.3475,847.75,818,8.87
Plt1098,78.26,23.8,261,237.75,23.25,357.83,96.83,120.08,6.8,75.9,1640.14,8.02,0.49,0.08,38966.67,5868.33,0.13,50.8,82.5,15600,13091.1475,1731.9225,1971.25,3237.925,9.16
Plt1099,78.29,24.5,207.42,143,64.42,293.67,86.25,150.67,5.9,80.6,1764.63,8.16,0.46,0.12,27203.33,3290.67,0.12,61.93,87,15050,12162.75,1645.875,1039.625,1500,8.75
Plt1138,76.6,23.6,154.42,97.67,56.75,210.92,56.5,113.25,5.7,78.3,2285.6,20.04,0.35,0.12,50873.33,5383.33,0.11,58.63,77.13,16800,6319.605,1745.7225,1448.6025,923.6175,10.53
Plt1143,76.89,25.5,185,112.83,72.17,234.17,49.17,121.33,5.5,78.3,2739.99,23.05,0.46,0.1,19263.33,3796.33,0.21,59.03,84.83,12850,7788.0425,1486.7275,2072.5,2499,8.33
Plt1149,72.23,19.8,251.42,126.92,124.5,239.25,-12.17,112.33,5.7,78.3,2213.86,45.54,0.46,0.11,16383.33,1665,0.1,57.73,89.9,9103.33,2944.085,910.8075,1343.7325,1370.5275,10
Plt1154,78.31,19.2,232.42,124.67,107.75,259,26.58,134.33,5.8,79.8,1720.45,37.97,0.42,0.09,15506.67,1473.33,0.1,63.03,85.87,9100,2295.8525,1049.865,279.945,521.25,10.06
Plt1156,76.75,25.4,195.17,135.17,60,293.42,98.25,158.25,5.8,79.8,2312.65,16.78,0.46,0.15,49820,5080.33,0.1,58.7,77.4,15833.33,7195.5775,1737.05,925.13,694.9575,10.23
Plt1158,78.88,20.8,228.42,138.92,89.5,269.5,41.08,130.58,6,81.35,819.74,9.96,0.38,0.08,35976.67,4267,0.12,62.4,83.07,14450,6146.5025,1610.9675,1221.41,704.035,10.65
Plt1159,68.65,24.7,282,219.25,62.75,408.5,126.5,189.25,6.1,75.1,2108.36,14.55,0.41,0.11,45480,4604.67,0.1,56.63,78.43,18200,7694.465,1320.4325,1351.75,684.245,10.29
Plt1167,77.17,23.9,225.17,161.08,64.08,305.33,80.17,144.25,5.9,78.3,2600.23,11,0.46,0.11,15493.33,1619.33,0.1,58.13,90.93,9530,4268.9175,1016.285,500.1975,614.5125,11.13
Plt1169,76.7,24.3,183.83,133.67,50.17,234.67,50.83,101,6.1,79,2553.73,20.63,0.43,0.12,22980,2795.67,0.12,66.05,82.8,9730,6540.37,956.68,739.645,448.8575,11.54
Plt1189,77.6,22.4,241.58,124.33,117.25,232.42,-9.17,108.08,5.7,78.3,2676.38,47.88,0.49,0.12,38776.67,4437,0.11,61.5,77.87,12133.33,8010.355,1367.64,1989.8325,1458.0775,8.63
Plt1196,78.08,19.9,242.17,127.33,114.83,254.42,12.25,127.08,5.7,80.65,1677.33,36.03,0.38,0.09,29800,2861,0.09,58.6,83.37,11900,9696.965,1382.8525,3185.2925,3218.625,8.75
Plt1214,79.39,21.9,228.58,127.42,101.17,255.58,27,128.17,5.8,82.35,1900.49,27.86,0.48,0.12,28286.67,3731.33,0.14,60.1,80.03,11850,4293.235,1203.4675,1156.655,1095.6925,8.63
Plt1233,77.05,27.6,187.92,106,81.92,225.33,37.42,119.33,5.5,79,2122.84,38.82,0.41,0.15,18880,2862.33,0.15,66.17,80.87,8725,3109.27,795.1175,522.9175,699.055,6.72
Plt1237,69.58,25.7,228.58,193,35.58,337.67,109.08,144.67,6.3,75.1,2920.52,22.38,0.51,0.14,52253.33,4271,0.08,54.17,75.07,17550,16358.9475,1863.93,2007.5,2661.9,10.17
Plt1239,68.59,24.9,274.92,231.42,43.5,388.08,113.17,156.67,6.6,72.75,2094.2,13.73,0.44,0.1,54873.33,4645.67,0.08,52.4,74.2,18000,7062.2175,1983.31,1340.5,982.9225,9.52
Plt1254,77.82,25.7,225.92,149.75,76.17,292.67,66.75,142.92,5.9,79.8,2790.92,9.85,0.5,0.15,52486.67,6461.33,0.12,60.4,76.07,18400,6314.1675,1805.0675,2534.5925,1260.63,9.1
Plt1255,76.45,24.6,170.25,98.08,72.17,223.33,53.08,125.25,5.5,77.5,1936.43,27.03,0.41,0.12,32003.33,2797.33,0.08,60.37,84.97,13966.67,3990.6975,1593.7525,929.195,1458.8325,9.88
Plt1256,77.1,21.7,244.08,135.5,108.58,271.08,27,135.58,5.8,78.3,1733.98,33.85,0.4,0.1,34033.33,3703,0.11,57.4,85.2,15833.33,6054.7225,1797.335,1656.5275,2781.8,9.04
Plt1257,77.29,25.3,177.5,99.5,78,220.58,43.08,121.08,5.6,79,2772.55,34.06,0.55,0.13,31450,3065.33,0.09,60.27,80.93,10533.33,5451.2175,1300.9075,1131.545,1069.3125,8.98
Plt1258,76.87,24.9,182.17,106.67,75.5,234.58,52.42,127.92,5.8,78.3,1559.1,19.86,0.35,0.11,36150,3235.67,0.09,60.1,79.3,11850,3609.0575,1088.1525,1432.97,1665.7775,9.34
Plt1259,76.43,24,160,93,67,210.5,50.5,117.5,5.5,79,1012.07,7.97,0.55,0.11,49223.33,4964.33,0.1,60.13,78.57,17800,9227.4425,1758.4975,2609.99,3629.725,9.7
Plt1260,66.44,24.9,142.42,105.33,37.08,207.42,65,102.08,5.9,73.6,2289.99,35.57,0.39,0.12,60483.33,6024.67,0.1,53.07,72.23,21100,8431.905,2015.385,986.785,535.81,8.15
Plt1278,77.16,24,211.92,142.92,69,267,55.08,124.08,5.9,79.8,1772.51,23.06,0.37,0.1,46760,5612,0.12,62.37,78.17,15643.33,6938.5675,1433.82,1611.2625,1457.27,8.69
Plt1281,78.8,24.6,201.5,114.33,87.17,245.58,44.08,131.25,5.5,79.8,1944.81,16.82,0.46,0.13,41590,5934,0.15,61.73,78.3,12030,6574.105,1443.5125,1764.8625,1700.3975,7.91
Plt1298,69.44,25.8,272.08,220.5,51.58,405.75,133.67,185.25,6.2,73.6,1835.62,13,0.41,0.11,53716.67,5282,0.1,52.83,73.37,16250,10251.8075,1709.6025,1485.5575,1983.48,7.26
Plt1302,68.25,26.3,302.92,227.5,75.42,376.83,73.92,149.33,6.2,71.2,2031.81,17.79,0.41,0.1,46976.67,3886.67,0.08,51.4,76.17,15966.67,11334.2325,1806.415,2374.9175,1979.815,7.91
Plt1303,77.32,22,263.25,156.33,106.92,286,22.75,129.67,6,78.3,2126.9,22.41,0.45,0.11,26233.33,2447,0.09,62.7,84.27,11666.67,5128.135,1087.945,1358.165,1248.9225,6.66
Plt1305,77.7,22.4,267.42,140.5,126.92,267.67,0.25,127.17,5.7,79.8,1471.08,21.29,0.43,0.11,26883.33,2342,0.08,59.75,84.2,10440,6871.455,1272.645,1156.4575,1252.06,7.44
Plt1306,68.59,26.9,262.67,205.08,57.58,384.42,121.75,179.33,6,72.75,2573.16,12.4,0.49,0.13,59206.67,5866.33,0.1,50.83,71.7,17666.67,6860.0825,1856.1425,1115.695,722.9175,7.74
Plt1310,77.53,24.4,254.08,156.58,97.5,328.33,74.25,171.75,5.8,79.8,2004.42,13.57,0.45,0.1,29153.33,3094,0.11,63.7,84.8,12433.33,4165.8425,1350.745,1690.9675,1376.81,7.38
Plt1311,77.72,24.5,243.5,161.83,81.67,327.17,83.67,165.33,5.9,80.65,1876.74,13.81,0.37,0.1,36680,4797,0.13,58.37,78.93,12033.33,5595.955,1545.165,2039.5275,2615.125,8.09
Plt1317,68.4,24,296.67,244.33,52.33,374.67,78,130.33,6.5,75.1,2011.57,17.86,0.41,0.12,44430,3968.67,0.09,58.13,73.8,13366.67,6612.9975,1456.2175,1784.925,1109.3025,7.68
Plt1322,77.38,25.7,198.75,125.25,73.5,255.33,56.58,130.08,5.5,79,2571.57,15.87,0.42,0.12,38033.33,4473.33,0.12,63.93,77.2,10910,6413.09,1353.56,1469.72,681.99,7.5
Plt1329,78.23,25.9,231.08,152.67,78.42,290.75,59.67,138.08,5.8,81.35,2540.2,18.54,0.43,0.12,29393.33,3418,0.12,64.17,80.73,11040,6254.1675,1221.1025,781.125,916.4175,7.85
Plt1332,79.36,25.4,266.33,190.42,75.92,349.17,82.83,158.75,6.1,82.35,1130.57,9.91,0.37,0.12,34570,3364,0.1,64.4,82.27,14200,3949.3275,1424.97,830.61,504.365,7.85
Plt1370,77.76,26.2,207.33,127.17,80.17,252.67,45.33,125.5,5.7,79,2185.87,25.79,0.4,0.12,40340,6841,0.18,65.43,78.07,13566.67,8594.945,1516.7475,1967.8275,1333.605,7.62
Plt1372,76.68,26.1,207.75,117.67,90.08,261.58,53.83,143.92,5.6,79,2642.31,22.49,0.45,0.13,39760,4737.67,0.12,61.27,80.37,14250,9481.5475,1604.92,1476.75,1053.6575,7.56
Plt1383,76.03,26.5,225.67,146.33,79.33,304.33,78.67,158,5.9,79.8,2078.6,10.07,0.48,0.12,48750,5636,0.12,60.8,77.7,17033.33,7808.05,1614.39,1851.4175,1062.505,7.02
Plt1386,77.34,27.1,203.08,125.83,77.25,257.17,54.08,131.33,5.7,79.8,1803.85,3.73,0.44,0.14,29733.33,3519,0.12,58.4,84.1,13000,6719.1675,1324.6,1833.2925,1063.675,7.62
Plt1387,78.37,22.2,243.17,128,115.17,243,-0.17,115,5.8,80.65,1752.73,44.16,0.47,0.11,25023.33,2529.67,0.1,62.57,86.57,11710,13414.1575,1279.33,1142.0275,1464.1675,7.62
Plt1388,77.51,26.8,194.08,112.58,81.5,241.67,47.58,129.08,5.6,81.35,2428.29,25.54,0.46,0.11,13876.67,1752.67,0.13,63.7,89.8,6365,8851.07,7115.5,2248.75,2376.3425,6.43
