Plot ,GT_DSC,AC,PV,TV,BD,FV,SB,LO,PT,PASTEMP_RECALC,HRD,ADH,COH,SPR,SMMAX,LM_SMMAX,TD_SMMAX,TEMP_GELPT,TEMP_SMMAX,TROUGH_SM,SLOPE1_SM,SLOPE2_SM_abs,SLOPE3_LM,SLOPE4_LM_abs,PC
Plt1505,77.75,22,267.33,140.58,126.75,261.75,-5.58,121.17,5.9,78.3,1609.67,36.84,0.42,0.13,30100,3356,0.11,62.63,79.83,9900,6188.335,1238.7325,938.125,784.125,7.85
Plt1510,78.23,19.4,274.08,167,107.08,307.5,33.42,140.5,6,79,1958.1,16.51,0.52,0.13,33333.33,3821.33,0.11,60.17,78.17,12300,5084.6425,1224.07,1036.9425,427.5275,8.03
Plt1513,67.57,25.1,335.08,280.25,54.83,399.42,64.33,119.17,6.7,71.2,1645.31,8.19,0.44,0.12,27743.33,2503,0.09,56.87,90,18000,3624.04,1808.655,856.84,1703.0525,7.62
Plt1517,76.88,27.4,209.58,126,83.58,262.42,52.83,136.42,5.8,79,2567.22,17.61,0.47,0.13,52146.67,7232,0.14,62.13,77.47,16433.33,8858.2725,1816.495,2538.9725,2500.25,7.2
Plt1519,77.85,26.3,191.83,131,60.83,278.58,86.75,147.58,5.8,80.65,1960.49,18.43,0.48,0.12,37786.67,3623,0.09,60.6,82.6,14966.67,8134.28,1523.14,3182.555,3373.2,7.97
Plt1521,78.07,27.1,207.5,124.92,82.58,257.67,50.17,132.75,5.8,79,1822.78,10.98,0.46,0.12,44890,5479,0.12,64.83,78.03,12800,10552.6925,1536.615,2394.5725,1211.355,7.5
Plt1523,76.52,25.9,221.67,123.08,98.58,274.83,53.17,151.75,5.6,77.5,2097.47,21.39,0.47,0.12,39856.67,4225.33,0.1,58.57,80,13466.67,5263.3375,1522.085,1544.36,1358.9725,7.38
Plt1528,77.72,25.1,191.17,121.92,69.25,255,63.83,133.08,5.9,79,2987.42,4.86,0.47,0.14,32060,3399.67,0.11,67.03,78.97,9786.67,8097.9175,1256.4225,1600.865,857.735,7.97
Plt1529,67.06,26.5,296,238.75,57.25,406.75,110.75,168,6.3,72.05,2319.19,18.52,0.39,0.1,38136.67,4242.67,0.11,51.5,76.93,13166.67,2985.6325,1604.2225,1587.3775,1277.05,8.27
Plt1531,76.75,27.6,202.58,123.67,78.92,252.58,50,128.92,5.8,78.3,2288.07,26.37,0.38,0.13,30533.33,3808,0.13,64.37,77.43,9626.67,4636.245,1127.4275,664.195,530.4725,8.51
Plt1534,70.28,22.4,216.83,130,86.83,280.25,63.42,150.25,5.9,72.75,2065.63,21.55,0.46,0.09,19273.33,2512.67,0.13,56.63,90.87,11250,3687.98,1611.1,531,1411.4175,7.85
Plt1535,77.66,24.5,212.75,115.67,97.08,250.08,37.33,134.42,5.6,79.8,903.74,19.5,0.34,0.09,35303.33,2960.33,0.09,64.83,81.57,11500,4830.3025,1403.4775,794.4775,366.3125,7.85
Plt1545,76.65,26.2,307.42,195.33,112.08,358.33,50.92,163,5.9,79,2532.61,17.89,0.48,0.12,42540,4994,0.12,58.4,76.97,14395,6042.615,1545.2025,1797.2925,809.345,7.62
Plt1567,76.67,25.5,298.17,211.33,86.83,351.42,53.25,140.08,6.2,79,2863.15,5.73,0.58,0.15,32496.67,4230.33,0.12,63.93,82.5,10400,11156.25,1396.995,2681.48,1124.2825,7.32
Plt1568,66.73,23.1,219.08,150.83,68.25,271.83,52.75,121,6.1,68.8,1999.44,51.37,0.43,0.09,45626.67,3797,0.08,51.93,75.43,14666.67,7478.525,1495.2275,1493.325,1813.0775,7.5
Plt1591,78.43,25.5,304.67,203.92,100.75,345.83,41.17,141.92,5.9,80.65,1567.89,9.44,0.41,0.1,21736.67,2465,0.11,66.63,83.07,9165,3324.925,944.05,1585.3475,1135.8175,7.08
Plt1605,78.28,20.6,257.67,136,121.67,260.08,2.42,124.08,6,79.8,821.84,14.06,0.33,0.08,31683.33,4755.33,0.15,55.65,80,11733.33,4194.555,1195.0725,1675.11,1298.9025,7.38
Plt1606,78.18,28.5,188.75,110.42,78.33,229.75,41,119.33,5.5,79,803.2,9.24,0.51,0.11,46016.67,7920.33,0.18,63.27,78,14436.67,7198.9225,1721.5575,1896.055,1357.49,7.38
Plt1608,77.5,26.2,187.58,135.17,52.42,241.67,54.08,106.5,5.9,79,1951.79,22.68,0.4,0.11,48400,5759,0.12,63.5,77.9,13550,7284.125,1704.675,1455.75,648.5075,9.22
Plt1611,76.87,26.2,182.33,121.75,60.58,246.33,64,124.58,5.7,78.3,1743.54,35.54,0.37,0.1,28980,3647.33,0.13,63.73,78.63,11605,2816.4,1129.0825,780.9175,830.295,8.57
Plt1612,77.38,27.1,181.83,115.42,66.42,243.33,61.5,127.92,5.7,79.8,2727.81,43.3,0.53,0.11,28620,3436.33,0.13,61.93,81.37,14200,5485.9225,1404.9675,400.5025,1282.615,8.27
Plt1629,77.69,26.2,259.08,175.58,83.5,322.17,63.08,146.58,5.9,79.8,1591.94,5.97,0.49,0.11,26030,2918.33,0.12,61.27,80.57,9936.5,3117.2775,1159.02,1134.065,1284.795,8.09
Plt1631,77.49,27.9,195.67,130.67,65,253.75,58.08,123.08,5.7,80.65,1859.38,15.09,0.37,0.11,30713.33,5284.67,0.17,63.07,78.93,13950,5456.7525,1342.36,1240.65,1504.76,7.62
Plt1634,78.53,26.2,264.08,201,63.08,339.83,75.75,138.83,6.1,81.35,1316.51,15.84,0.38,0.1,23370,2970,0.13,64.17,87.03,12850,2466.6075,1169.7,1100.25,560.2025,7.91
Plt1635,77.64,32.6,179.25,109.67,69.58,238.75,59.5,129.08,5.7,79.8,2672.32,22.26,0.48,0.12,18623.33,1607,0.09,60.63,91.93,11610,1605.41,1012.37,775.78,985.195,8.75
Plt1636,79.06,24.9,268.75,191.5,77.25,323.25,54.5,131.75,6.2,81.35,1622.65,10.17,0.4,0.1,32713.33,3343.67,0.1,66.37,80.7,11866.67,5911.8025,1342.445,1823.6675,1247.945,7.44
Plt1647,78.42,27.2,262.92,182.83,80.08,336.08,73.17,153.25,5.9,81.35,649.08,4.08,0.56,0.1,32856.67,3586,0.11,64.05,81.7,12166.67,5887.5,1442.505,1472.5,1464.8225,7.97
Plt1649,77.92,25.9,235.25,168.33,66.92,288.33,53.08,120,5.9,79.8,2014.07,18.6,0.39,0.12,21806.67,3239,0.14,65.03,85.57,12650,4412.3275,1069.9175,2682.665,466.3075,8.93
Plt1657,77.8,25.9,245.17,193.25,51.92,300,54.83,106.75,6.3,79.8,1889.38,23.74,0.45,0.09,46363.33,5613,0.12,62.7,78.23,19076.67,7666.6175,1410.01,1482.815,755.985,9.52
Plt1662,79.14,19.1,238.92,137.58,101.33,255.83,16.92,118.25,6,80.65,931.48,28.45,0.35,0.09,33176.67,4163.33,0.13,62.17,78.93,12214,4473.865,1142.05,2852.03,511.1325,8.69
